Nationality,Total,Male,Female
Republic of Ireland,367,166,201
India,224,111,113
Poland,137,72,64
United States of America,117,54,63
France,104,44,60
South Africa,103,50,53
Pakistan,103,55,48
Italy,95,50,45
Germany,89,34,56
Australia,85,39,47
China,76,37,39
Portugal,74,35,39
Bangladesh,70,36,34
Philippines,67,26,41
Nigeria,67,38,29
Zimbabwe,65,32,33
Somalia,62,28,34
Jamaica,54,27,27
Spain,54,23,31
Netherlands,50,25,25
Turkey,48,27,22
Sri Lanka,47,27,19
Canada,42,17,25
New Zealand,42,18,24
Ghana,41,23,18
Sweden,36,13,23
Lithuania,31,16,15
Iraq,31,21,10
Greece,30,16,14
Iran,28,19,9
Malaysia,28,13,16
Japan,27,9,18
Brazil,25,12,13
Slovakia,24,12,12
Czech Republic,20,7,13
Russia,20,7,13
Denmark,20,9,10
Mauritius,18,9,10
Kenya,17,9,8
South Korea,17,7,10
Romania,15,8,8
Colombia,14,6,8
Austria,13,7,6
Albania,13,9,5
Belgium,13,7,6
Latvia,13,5,7
Uganda,13,5,8
Sierra Leone,12,5,7
Norway,12,6,6
Thailand,12,4,8
Bulgaria,12,5,7
Cyprus (European Union),12,6,5
Finland,11,3,9
Trinidad and Tobago,10,5,5
Ukraine,10,5,5
Algeria,9,7,2
Malta,8,3,5
Zambia,8,3,5
Singapore,8,1,6
Morocco,7,3,5
