nationality,all,male,female
Poland,736,353,383
India,342,177,165
Republic of Ireland,331,145,186
Pakistan,193,99,94
Lithuania,161,73,87
France,154,67,87
Portugal,143,74,70
United States of America,137,65,73
Romania,135,71,64
Italy,135,73,62
Germany,126,51,75
Nigeria,108,60,48
Spain,92,43,49
China,91,40,51
Latvia,89,39,50
South Africa,80,40,40
Hungary,73,39,34
Bangladesh,73,37,36
Australia,70,30,40
Netherlands,67,31,36
Philippines,62,26,36
Nepal,62,32,30
Slovakia,55,24,32
Sri Lanka,55,26,28
Bulgaria,51,24,27
Zimbabwe,50,26,24
Jamaica,49,23,25
Ghana,47,21,26
Somalia,47,19,27
Canada,43,15,28
Czech Republic,42,21,21
Brazil,42,21,21
Greece,42,23,19
New Zealand,41,20,21
Turkey,40,20,20
Iran,40,24,16
Russia,35,14,21
Sweden,35,13,21
Taiwan,33,13,20
Iraq,32,18,14
Japan,32,11,22
Malaysia,32,13,19
Afghanistan,31,20,11
Thailand,26,3,23
Cyprus (Non-European Union),23,11,12
Denmark,22,8,13
South Korea,19,8,11
Kenya,18,9,9
Libya,18,8,9
Ukraine,17,7,10
Belgium,16,7,9
Saudi Arabia,16,7,9
Norway,16,7,9
Austria,16,5,11
East Timor,15,7,8
Colombia,14,5,9
Egypt,14,7,7
Switzerland,13,5,8
Cyprus (European Union),13,8,5
Eritrea,12,5,7
