nationalites,all,male,female
Poland,738 000 ,343 000 ,395 000 
Romania,384 000 ,195 000 ,189 000 
Republic of Ireland,368 000 ,175 000 ,193 000 
India,359 000 ,185 000 ,174 000 
Italy,317 000 ,167 000 ,150 000 
Portugal,268 000 ,136 000 ,132 000 
Spain,196 000 ,93 000 ,103 000 
Pakistan,195 000 ,106 000 ,89 000 
France,173 000 ,73 000 ,100 000 
United States of America,159 000 ,68 000 ,91 000 
Nigeria,151 000 ,71 000 ,79 000 
Lithuania,147 000 ,61 000 ,86 000 
Germany,135 000 ,52 000 ,83 000 
China,116 000 ,43 000 ,73 000 
Hungary,115 000 ,48 000 ,66 000 
Australia,102 000 ,58 000 ,44 000 
Bulgaria,102 000 ,52 000 ,50 000 
Netherlands,101 000 ,44 000 ,57 000 
South Africa,99 000 ,51 000 ,48 000 
Latvia,97 000 ,36 000 ,62 000 
Bangladesh,75 000 ,39 000 ,36 000 
Canada,75 000 ,26 000 ,49 000 
Greece,71 000 ,39 000 ,32 000 
Brazil,69 000 ,29 000 ,40 000 
Philippines,67 000 ,26 000 ,40 000 
Slovakia,66 000 ,29 000 ,37 000 
New Zealand,59 000 ,31 000 ,28 000 
Ghana,53 000 ,20 000 ,33 000 
Sweden,47 000 ,19 000 ,28 000 
Zimbabwe,46 000 ,21 000 ,25 000 
Jamaica,41 000 ,18 000 ,23 000 
Russia,40 000 ,13 000 ,27 000 
Malaysia,38 000 ,18 000 ,20 000 
Turkey,37 000 ,23 000 ,14 000 
Czech Republic,36 000 ,18 000 ,18 000 
Denmark,34 000 ,13 000 ,20 000 
Iran,31 000 ,18 000 ,13 000 
Sri Lanka,31 000 ,14 000 ,17 000 
Somalia,30 000 ,19 000 ,11 000 
Albania,30 000 ,18 000 ,11 000 
Japan,24 000 ,7 000 ,18 000 
Nepal,23 000 ,12 000 ,11 000 
Sudan,23 000 ,11 000 ,11 000 
Syria,22 000 ,11 000 ,11 000 
Iraq,22 000 ,12 000 ,9 000 
Egypt,22 000 ,13 000 ,9 000 
Belgium,21 000 ,9 000 ,12 000 
Saudi Arabia,21 000 ,11 000 ,10 000 
Colombia,21 000 ,9 000 ,12 000 
Thailand,20 000 ,6 000 ,14 000 
Israel,18 000 ,10 000 ,8 000 
Kenya,18 000 ,6 000 ,12 000 
Ukraine,17 000 ,5 000 ,13 000 
Indonesia,17 000 ,8 000 ,9 000 
Malta,16 000 ,7 000 ,9 000 
Austria,16 000 ,7 000 ,9 000 
Switzerland,16 000 ,7 000 ,9 000 
Cyprus (European Union),15 000 ,9 000 ,7 000 
Afghanistan,15 000 ,8 000 ,7 000 
Ethiopia,15 000 ,9 000 ,5 000 
