,All,Poland
United Kingdom,66 329 000 ,696 000 
England,55 944 000 ,596 000 
North East,2 620 000 ,14 000 
North West,7 233 000 ,66 000 
Yorkshire and The Humber,5 435 000 ,57 000 
East Midlands,4 779 000 ,60 000 
West Midlands,5 872 000 ,60 000 
East,6 238 000 ,60 000 
London,9 078 000 ,132 000 
Inner London,3 651 000 ,31 000 
Outer London,5 427 000 ,101 000 
South East,9 120 000 ,87 000 
South West,5 571 000 ,60 000 
Wales,3 120 000 ,25 000 
Scotland,5 394 000 ,62 000 
Northern Ireland,1 869 000 ,13 000 
