age,all,men,woman
"all,""2397,0"",""1188,9"",""1208,1"""
"  0-4 ,""84,2"",""44,2"",""40,0"""
"   5-9,""97,7"",""50,7"",""47,0"""
" 10-14,""84,1"",""43,1"",""41,0"""
"15-19,""81,7"",""41,5"",""40,2"""
"20-24,""141,2"",""69,5"",""71,7"""
"25-29,""269,9"",""128,2"",""141,7"""
"30-34,""395,9"",""191,3"",""204,7"""
"35-39,""336,4"",""171,2"",""165,1"""
"40-44,""224,9"",""116,4"",""108,4"""
"45-49,""169,2"",""86,6"",""82,5"""
"50-54,""161,3"",""82,5"",""78,9"""
"55-59,""143,8"",""72,2"",""71,5"""
"60-64,""93,8"",""45,5"",""48,3"""
"65-69,""45,5"",""21,0"",""24,5"""
"70-74,""23,1"",""9,8"",""13,3"""
"75+,""44,4"",""15,2"",""29,2"""
