age,all,men,woman
all,"2540,0","1263,6","1276,4"
  0-4 lata  ,"80,9","42,4","38,4"
   5-9,"92,7","48,2","44,5"
 10-14,"95,0","49,0","46,0"
15-19,"87,3","44,4","42,9"
20-24,"143,4","71,1","72,3"
25-29,"244,9","119,9","125,0"
30-34,"369,9","178,9","191,0"
35-39,"377,8","189,7","188,1"
40-44,"265,2","137,7","127,5"
45-49,"189,9","97,4","92,5"
50-54,"173,5","87,9","85,6"
55-59,"159,3","80,3","79,1"
60-64,"115,8","56,6","59,2"
65-69,"61,1","28,6","32,5"
70-74,"30,0","12,9","17,1"
75+,"53,5","18,7","34,8"
